DistinguishedName,userPrincipalName,NetBiosName,SamAccountName,NTName,FQDN,Name,givenName,Sid,Gid,Members,Password,
"CN=HelpServicesGroup,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,HelpServicesGroup,dctest\HelpServicesGroup,dctest.likewise.com,HelpServicesGroup,,S-1-5-21-1825935614-1729940581-3416966447-1000,,"CN=SUPPORT_388945a0,",password,,
"CN=TelnetClients,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,TelnetClients,dctest\TelnetClients,dctest.likewise.com,TelnetClients,,S-1-5-21-1825935614-1729940581-3416966447-1002,,,password,,
"CN=DHCP Users,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,DHCP Users,dctest\DHCP Users,dctest.likewise.com,DHCP Users,,S-1-5-21-1825935614-1729940581-3416966447-1003,,,password,,
"CN=DHCP Administrators,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,DHCP Administrators,dctest\DHCP Administrators,dctest.likewise.com,DHCP Administrators,,S-1-5-21-1825935614-1729940581-3416966447-1004,,,password,,
"CN=Administrators,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Administrators,dctest\Administrators,dctest.likewise.com,Administrators,,S-1-5-32-544,,"CN=Domain Admins,CN=Enterprise Admins,CN=Administrator,",password,,
"CN=Users,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Users,dctest\Users,dctest.likewise.com,Users,,S-1-5-32-545,,"CN=rvgrp,CN=Domain Users,CN=S-1-5-11,CN=S-1-5-4,",password,,
"CN=Guests,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Guests,dctest\Guests,dctest.likewise.com,Guests,,S-1-5-32-546,,"CN=Domain Guests,CN=Guest,",password,,
"CN=Print Operators,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Print Operators,dctest\Print Operators,dctest.likewise.com,Print Operators,,S-1-5-32-550,,,password,,
"CN=Backup Operators,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Backup Operators,dctest\Backup Operators,dctest.likewise.com,Backup Operators,,S-1-5-32-551,,,password,,
"CN=Replicator,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Replicator,dctest\Replicator,dctest.likewise.com,Replicator,,S-1-5-32-552,,,password,,
"CN=Remote Desktop Users,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Remote Desktop Users,dctest\Remote Desktop Users,dctest.likewise.com,Remote Desktop Users,,S-1-5-32-555,,,password,,
"CN=Network Configuration Operators,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Network Configuration Operators,dctest\Network Configuration Operators,dctest.likewise.com,Network Configuration Operators,,S-1-5-32-556,,,password,,
"CN=Performance Monitor Users,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Performance Monitor Users,dctest\Performance Monitor Users,dctest.likewise.com,Performance Monitor Users,,S-1-5-32-558,,,password,,
"CN=Performance Log Users,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Performance Log Users,dctest\Performance Log Users,dctest.likewise.com,Performance Log Users,,S-1-5-32-559,,"CN=S-1-5-20,",password,,
"CN=Distributed COM Users,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Distributed COM Users,dctest\Distributed COM Users,dctest.likewise.com,Distributed COM Users,,S-1-5-32-562,,,password,,
"CN=Domain Computers,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,Domain Computers,dctest\Domain Computers,dctest.likewise.com,Domain Computers,,S-1-5-21-1825935614-1729940581-3416966447-515,,,password,,
"CN=Domain Controllers,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,Domain Controllers,dctest\Domain Controllers,dctest.likewise.com,Domain Controllers,,S-1-5-21-1825935614-1729940581-3416966447-516,,,password,,
"CN=Schema Admins,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,Schema Admins,dctest\Schema Admins,dctest.likewise.com,Schema Admins,,S-1-5-21-1825935614-1729940581-3416966447-518,,"CN=Administrator,",password,,
"CN=Enterprise Admins,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,Enterprise Admins,dctest\Enterprise Admins,dctest.likewise.com,Enterprise Admins,,S-1-5-21-1825935614-1729940581-3416966447-519,,"CN=Administrator,",password,,
"CN=Cert Publishers,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,Cert Publishers,dctest\Cert Publishers,dctest.likewise.com,Cert Publishers,,S-1-5-21-1825935614-1729940581-3416966447-517,,,password,,
"CN=Domain Admins,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,Domain Admins,dctest\Domain Admins,dctest.likewise.com,Domain Admins,,S-1-5-21-1825935614-1729940581-3416966447-512,,"CN=Administrator,",password,,
"CN=Domain Users,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,Domain Users,dctest\Domain Users,dctest.likewise.com,Domain Users,,S-1-5-21-1825935614-1729940581-3416966447-513,,,password,,
"CN=Domain Guests,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,Domain Guests,dctest\Domain Guests,dctest.likewise.com,Domain Guests,,S-1-5-21-1825935614-1729940581-3416966447-514,,,password,,
"CN=Group Policy Creator Owners,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,Group Policy Creator Owners,dctest\Group Policy Creator Owners,dctest.likewise.com,Group Policy Creator Owners,,S-1-5-21-1825935614-1729940581-3416966447-520,,"CN=Administrator,",password,,
"CN=RAS and IAS Servers,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,RAS and IAS Servers,dctest\RAS and IAS Servers,dctest.likewise.com,RAS and IAS Servers,,S-1-5-21-1825935614-1729940581-3416966447-553,,,password,,
"CN=Server Operators,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Server Operators,dctest\Server Operators,dctest.likewise.com,Server Operators,,S-1-5-32-549,,"CN=ravi d,",password,,
"CN=Account Operators,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Account Operators,dctest\Account Operators,dctest.likewise.com,Account Operators,,S-1-5-32-548,,,password,,
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Pre-Windows 2000 Compatible Access,dctest\Pre-Windows 2000 Compatible Access,dctest.likewise.com,Pre-Windows 2000 Compatible Access,,S-1-5-32-554,,"CN=S-1-5-11,",password,,
"CN=Incoming Forest Trust Builders,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Incoming Forest Trust Builders,dctest\Incoming Forest Trust Builders,dctest.likewise.com,Incoming Forest Trust Builders,,S-1-5-32-557,,,password,,
"CN=Windows Authorization Access Group,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Windows Authorization Access Group,dctest\Windows Authorization Access Group,dctest.likewise.com,Windows Authorization Access Group,,S-1-5-32-560,,"CN=S-1-5-9,",password,,
"CN=Terminal Server License Servers,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,Terminal Server License Servers,dctest\Terminal Server License Servers,dctest.likewise.com,Terminal Server License Servers,,S-1-5-32-561,,,password,,
"CN=DnsAdmins,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,DnsAdmins,dctest\DnsAdmins,dctest.likewise.com,DnsAdmins,,S-1-5-21-1825935614-1729940581-3416966447-1106,,,password,,
"CN=DnsUpdateProxy,CN=Users,DC=dctest,DC=likewise,DC=com",,dctest,DnsUpdateProxy,dctest\DnsUpdateProxy,dctest.likewise.com,DnsUpdateProxy,,S-1-5-21-1825935614-1729940581-3416966447-1107,,,password,,
"CN=rvgrp,CN=Builtin,DC=dctest,DC=likewise,DC=com",,dctest,rvgrp,dctest\rvgrp,dctest.likewise.com,rvgrp,,S-1-5-21-1825935614-1729940581-3416966447-1115,,,password,,
"CN=testgrp,DC=dctest,DC=likewise,DC=com",,dctest,testgrp,dctest\testgrp,dctest.likewise.com,testgrp,,S-1-5-21-1825935614-1729940581-3416966447-1116,,"CN=othello,",password,,
"CN=test,DC=dctest,DC=likewise,DC=com",,dctest,test,dctest\test,dctest.likewise.com,test,,S-1-5-21-1825935614-1729940581-3416966447-1118,,,password,,
