#ID,Description,Platforms,Command1,Expecited1,Command2,Expected2,Command3,Expected3,Command4,Expected4,,,,
1,Verify nsswitch.conf file,all,cat /etc/nsswitch.conf,not(lsass),,,,,,,,,,
2,Verify ssh_config file,all,cat /etc/ssh/ssh_config, GSSAPIAuthentication no & GSSAPIDelegateCredentials no,,,,,,,,,,
3,Verify sshd_config file,all,cat /etc/ssh/sshd_config, not(GSSAPIDelegateCredentials yes),,,,,,,,,,
4,Verify product download and installation,all,install(smbclient \\\\10.10.60.5\\share -U administrator centeris||Release_builds\Lwidentity-5.3\7728\LWISE\||/root/),Install complete,,,,,,,,,,
#5,Verify License,all,,,,,,,,,,,,
5,Verify nsswitch.conf file,all,cat /etc/nsswitch.conf,not(lsass),,,,,,,,,,
6,Verify ssh_config file,all,cat /etc/ssh/ssh_config,not(GSSAPIDelegateCredentials yes),,,,,,,,,,
7,Verify sshd_config file,all,cat /etc/ssh/sshd_config, not(GSSAPIDelegateCredentials yes),,,,,,,,,,
8,Verify that 'likewise' directory is created in /opt,all,ls /opt/,likewise,,,,,,,,,,
9,Verify that /opt/likewise tree is created,all,ls /opt/likewise/,bin & data & lib & sbin & share,,,,,,,,,,
10,Verify that 'likewise' directory is created in /etc,all,ls /etc/,likewise,,,,,,,,,,
11,Verify that /etc/likewise tree is created,all,ls /etc/likewise/,eventlogd.reg & eventlogd.reg & gpagentd.reg & grouppolicy.reg & lsassd.reg & lwiod.reg & lwreg.reg & netlogond.reg & srvsvcd.reg,,,,,,,,,,
#12,Verify that /etc/security/pam_lwidentity.conf is created,all,ls /etc/security/,pam_lwidentity.conf,,,,,,,,,,
12,Verify that Daemon files are created in /etc/init.d,all,ls /etc/init.d/,lsassd & lwiod & lwregd & netlogond & dcerpcd & eventlogd & eventfwdd & lwsmd & gpagentd,,,,,,,,,,
13,Verify that lwregd process is started,"sunos,linux",/etc/init.d/lwregd status,running,,,,,,,,,,
14,Verify that netlogond process is started,"sunos,linux",/etc/init.d/netlogond status,running,,,,,,,,,,
15,Verify that lwiod process is started,"sunos,linux",/etc/init.d/lwiod status,running,,,,,,,,,,
16,Verify product uninstall,linux,uninstall(),Success,,,,,,,,,,
17,Verify /opt/likewise tree is removed,all,ls /opt/,not(likewise),,,,,,,,,,
#18,Verify pam_lwidentity.conf file is removed,all,ls /etc/security/,not(pam_lwidentity.conf),,,,,,,,,,
18,Verify /etc/likewise tree is removed,all,ls /etc/,likewise,,,,,,,,,,
19,Verify likewise daemon processes are removed from /etc/init.d,all,ls /etc/init.d/,not(lsassd) & not(lwiod) & not(lwregd) & not(netlogond) & not(dcerpcd) & not(eventlogd) & not(eventfwdd) & not(lwsmd) & not(gpagentd),,,,,,,,,,
20,Verify /var/lib/likewise tree is removed,all,ls /var/lib/,likewise,,,,,,,,,,
21,Create local user,all,useradd(localuser||span1234),successfully|Password changed,,,,,,,,,,
22,Verify local user login,all,userlogin(localuser||span1234),,pwd,/home/localuser,,,,,,,,
23,Install,all,install(),Install complete,,,,,,,,,,
24, domainjoin-cli command with a non-exist(tgp) OU specified for --ou option ,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ou tgp childa.parent2.likewiseqa.com administrator || centeris),The OU is invalid,,,,,,,,,,
25, domainjoin-cli command with a non-exist user account(user7),all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ou testgp childa.parent2.likewiseqa.com user7 || centeris),The user account is invalid,,,,,,,,,,
26, domainjoin-cli command with a non-exist domain name,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ou testgp nonexist.likewiseqa.com user7 || centeris),The user account is invalid,,,,,,,,,,
27, domainjoin-cli command with a non-exist domain name,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ov testgp nonexist.likewiseqa.com user7 || centeris),LW_ERROR_FAILED_TO_LOOKUP_DC,,,,,,,,,,
28, domainjoin-cli command with a invalid sub-command(leavee) ,all,domainleave(/opt/likewise/bin/domainjoin-cli leavee administrator ||centeris),usage: domainjoin-cli [options] command [args...],,,,,,,,,,
29, domainjoin-cli command with a bad password for a given user account,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ov testgp nonexist.likewiseqa.com user7 || badpassword),The password is incorrect for the given username,,,,,,,,,,
30," domainjoin-cli command with the option ""enable"", and try to enable a invalid module",all,domainjoin(/opt/likewise/bin/domainjoin-cli join --enable invalidmodule --ou testgp childa.parent2.likewiseqa.com testuser || centeris),Error: Unable to enable/disable module [code 0x00000057],,,,,,,,,,
31," domainjoin-cli  with the command ""setname""  along with the value ""…""",all,/opt/likewise/bin/domainjoin-cli setname ... ,expected like Invalid host name,,,,,,,,,,
32, domainjoin-cli with commands get_distro and get_distro_version,all,/opt/likewise/bin/domainjoin-cli get_distro get_distro_version,usage: domainjoin-cli [options] command [args...],,,,,,,,,,
33," domainjoin-cli command with ""leave"" command",all,domainleave(/opt/likewise/bin/domainjoin-cli leave invalidacct|| centeris),The user account is invalid,,,,,,,,,,
34," domainjoin-cli command with ""leave"" command with bad password",all,domainleave(/opt/likewise/bin/domainjoin-cli leave administrator|| badpassword),The password is incorrect for the given username,,,,,,,,,,
35," domainjoin-cli leave command with option ""details"" having a invalid module name as input",all,domainleave(/opt/likewise/bin/domainjoin-cli leave --details asd),Please check the spelling of 'add'. This module cannot be found,,,,,,,,,,
36,"domainjoin-cli join command option  ""log"" having a invalid directory path as its input value 
note: here the directory ""tt"" is not exists",all,domainleave(/opt/likewise/bin/domainjoin-cli leave --loglevel verbose --log /root/tt/dj.log administrator|| centeris),Please Verify the logfile path,,,,,,,,,,
